Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
honorable,존경받을 만하고 도덕적으로 올바른,Deserving respect and morally upright,She is an honorable person who always acts with integrity.,그녀는 항상 정직하게 행동하는 존경받을 만한 사람이다.,"respectable, upright, admirable","dishonorable, shameful, corrupt",Moderate relevance for vocabulary section,High relevance for verbal reasoning section
horizon,"지평선, 수평선 또는 시야의 끝",The line at which the earth's surface and the sky appear to meet,"The sun dipped below the horizon, painting the sky in hues of orange and pink.",태양이 지평선 아래로 내려가며 하늘을 주황색과 분홍색으로 물들였다.,"skyline, boundary, vista",,High relevance in topics about nature and landscapes,Low relevance unless used metaphorically in business contexts
horticulture,"원예, 식물을 재배하고 가꾸는 활동",The art or practice of garden cultivation and management,Horticulture plays a vital role in sustainable agriculture.,원예는 지속 가능한 농업에서 중요한 역할을 한다.,"gardening, cultivation, agriculture",,5,3
hospitality,"환대, 친절하게 손님을 대하는 태도","The friendly and generous reception and entertainment of guests, visitors, or strangers.",The staff at the hotel were praised for their exceptional hospitality.,호텔 직원들은 뛰어난 환대에 대해 칭찬을 받았다.,"friendliness, warmth, generosity","hostility, coldness, inhospitality",Moderately important for topics related to culture and travel.,Rarely relevant unless discussing business sectors like tourism or service industries.
hostage,인질; 어떤 목적을 이루기 위해 강제로 잡아둔 사람,A person who is seized or held as security for the fulfillment of a condition.,The kidnappers held the businessman as a hostage until their demands were met.,납치범들은 그들의 요구가 충족될 때까지 사업가를 인질로 잡았다.,"captive, prisoner, detainee","rescuer, liberator",6.5-8.0,Moderate relevance
hostile,"적대적인, 적의를 가진",Unfriendly or antagonistic; showing opposition or dislike.,The manager's hostile attitude made the employees uncomfortable.,관리자의 적대적인 태도는 직원들을 불편하게 만들었다.,"antagonistic, unfriendly, aggressive","friendly, amiable, cordial",6.0-8.0,Moderate relevance
hue,"색조, 빛깔, 색의 뉘앙스",A color or shade; a particular tone of color.,The sky was painted in hues of orange and pink during the sunset.,하늘은 석양이 질 때 주황색과 분홍색의 색조로 물들었다.,"shade, color, tone, tint",,Moderate relevance for color-related topics in writing and speaking.,Low relevance unless used metaphorically in reading comprehension.
humidity,공기 중의 습기나 수분의 양,The amount of moisture or water vapor present in the air,The humidity in the room made it feel much warmer than it actually was.,방 안의 습도가 실제 온도보다 더 따뜻하게 느껴지게 만들었다.,"moisture, dampness, wetness","dryness, aridity",Moderate relevance in topics related to weather and climate,Low relevance but may appear in reading passages
hustle,"서두르다, 바쁘게 움직이다, 열심히 일하다, 혹은 속임수로 얻다","to move or act quickly and energetically, to work hard, or to obtain something by deceit",She had to hustle to catch the last train.,그녀는 마지막 기차를 잡기 위해 서둘러야 했다.,"rush, push, strive","dawdle, idle, delay",5,4
hybrid,두 가지 이상의 요소가 결합된 혼합물 또는 결합체,A combination or mixture of two or more different elements or types,The car is a hybrid of electric and gasoline power.,그 자동차는 전기와 가솔린 동력을 결합한 혼합형이다.,"combination, mixture, blend",,Moderate relevance in environmental and technology topics,Low relevance unless discussing innovation or market strategies
hydrolysis,물질이 물과 반응하여 화학 결합이 끊어지는 과정,The chemical process in which a molecule reacts with water and breaks its bonds.,"During digestion, enzymes facilitate the hydrolysis of proteins into amino acids.",소화 과정에서 효소는 단백질을 아미노산으로 분해하는 가수분해를 촉진합니다.,"decomposition, reaction, cleavage",,Moderately relevant for scientific topics,Minimally relevant unless specific to chemistry contexts
hydrophobic,물을 싫어하거나 잘 섞이지 않는 성질,Having a tendency to repel or fail to mix with water,The hydrophobic coating on the fabric prevents it from absorbing water.,천에 발린 소수성 코팅은 물을 흡수하지 않게 합니다.,"water-repellent, nonpolar","hydrophilic, water-attractive",Moderate relevance in scientific topics,"Low relevance, primarily in specialized contexts"
hyperactivity,활동이 지나치게 많거나 통제되지 않는 상태,Excessive or uncontrollable activity or movement,Children with hyperactivity often struggle to focus in school.,과잉행동이 있는 아이들은 종종 학교에서 집중하기 어려워합니다.,"overactivity, restlessness, impulsiveness","calmness, tranquility, inactivity",Moderate relevance,Low relevance
hypnosis,최면 상태 또는 최면을 거는 행위,A state of consciousness in which a person is highly responsive to suggestion or a process of inducing such a state.,The therapist used hypnosis to help the patient overcome their fear of flying.,치료사는 환자가 비행 공포를 극복하도록 돕기 위해 최면을 사용했다.,"trance, mesmerism, suggestion","alertness, consciousness, awareness",5,4
hypothesis,"가설, 어떤 현상에 대한 잠정적인 설명 또는 추측",A supposition or proposed explanation made on the basis of limited evidence as a starting point for further investigation.,The scientist developed a hypothesis to explain the unusual behavior of the particles.,과학자는 입자의 이상한 행동을 설명하기 위해 가설을 세웠다.,"assumption, theory, proposal",,High relevance in academic writing and speaking tasks.,Moderate relevance in problem-solving and analytical writing.
hysteria,"강한 감정적 반응이나 통제를 잃은 상태, 때로는 집단적으로 발생하는 비이성적 흥분 상태","An uncontrollable emotional reaction, often irrational, sometimes occurring collectively in groups.",The crowd erupted in hysteria when the celebrity appeared on stage.,그 유명인이 무대에 등장하자 군중은 히스테리 상태로 폭발했다.,"panic, frenzy, mania","calm, serenity, composure",Relevant for understanding emotional and psychological vocabulary in reading and writing sections.,Occasionally relevant in critical reasoning and reading comprehension sections.
ideal,"이상적인, 완벽한 상태를 나타내는 것",Conforming to a standard of perfection or excellence; representing an ideal form.,She strives to achieve the ideal balance between work and personal life.,그녀는 일과 개인 생활의 이상적인 균형을 이루기 위해 노력한다.,"perfect, optimal, model","flawed, imperfect, realistic",High relevance in describing abstract concepts in writing and speaking tasks.,Moderate relevance in analytical writing and critical reasoning sections.
identical,"동일한, 똑같은",exactly the same; alike in every way,The two paintings look identical to each other.,그 두 그림은 서로 동일해 보인다.,"same, alike, equivalent","different, unique, distinct","High relevance, frequently used in reading and writing sections","Moderate relevance, occasionally used in critical reasoning and analytical writing sections"
